date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,symbol,sector
2021-03-10,207.679993,213.270004,207.649994,212.910004,212.910004,4331600.0,4331600.0,5.23001,2.518,211.27667,"March 10, 21",0.02518,HON,Industrials
2021-03-09,208.990005,209.940002,206.490005,207.610001,207.610001,2643300.0,2643300.0,-1.38,-0.66,208.01334,"March 09, 21",-0.0066,HON,Industrials
2021-03-08,207.539993,212.449997,207.199997,207.699997,207.699997,3215900.0,3215900.0,0.16,0.077,209.11666,"March 08, 21",0.00077,HON,Industrials
2021-03-05,204.529999,207.460007,201.779999,206.580002,206.580002,2857800.0,2857800.0,2.05,1.002,205.27334,"March 05, 21",0.01002,HON,Industrials
2021-03-04,207.350006,208.039993,200.509995,202.940002,202.940002,2797700.0,2797700.0,-4.41,-2.127,203.83,"March 04, 21",-0.02127,HON,Industrials
2021-03-03,206.119995,209.449997,206.119995,207.009995,207.009995,2705900.0,2705900.0,0.89,0.432,207.52666,"March 03, 21",0.00432,HON,Industrials
2021-03-02,206.770004,207.990005,205.179993,206.580002,206.580002,2500200.0,2500200.0,-0.19,-0.092,206.58333,"March 02, 21",-0.00092,HON,Industrials
2021-03-01,204.330002,208.149994,203.690002,206.220001,206.220001,2536000.0,2536000.0,1.89,0.925,206.02,"March 01, 21",0.00925,HON,Industrials
2021-02-26,205.630005,205.800003,202.070007,202.350006,202.350006,3665700.0,3665700.0,-3.28,-1.595,203.40667,"February 26, 21",-0.01595,HON,Industrials
2021-02-25,209.949997,210.460007,204.259995,204.789993,204.789993,2735000.0,2735000.0,-5.16,-2.458,206.50333,"February 25, 21",-0.02458,HON,Industrials
2021-02-24,204.889999,212.139999,203.5,211.029999,210.100006,3341500.0,3341500.0,6.14,2.997,208.89,"February 24, 21",0.02997,HON,Industrials
2021-02-23,205.009995,205.839996,202.970001,205.039993,204.136398,2459300.0,2459300.0,0.03,0.015,204.61666,"February 23, 21",0.00015,HON,Industrials
2021-02-22,203.039993,204.300003,202.419998,203.619995,202.722656,2205300.0,2205300.0,0.58,0.286,203.44667,"February 22, 21",0.00286,HON,Industrials
2021-02-19,204.119995,206.830002,203.320007,203.559998,202.662918,2434400.0,2434400.0,-0.56,-0.274,204.57,"February 19, 21",-0.00274,HON,Industrials
